year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,1,857,900,-3,1516,1530,-14,HA,51,N380HA,JFK,HNL,659,4983,9,0,2013-01-01T14:00:00Z
2013,1,2,909,900,9,1525,1530,-5,HA,51,N380HA,JFK,HNL,638,4983,9,0,2013-01-02T14:00:00Z
2013,1,3,914,900,14,1504,1530,-26,HA,51,N380HA,JFK,HNL,616,4983,9,0,2013-01-03T14:00:00Z
2013,1,4,900,900,0,1516,1530,-14,HA,51,N384HA,JFK,HNL,639,4983,9,0,2013-01-04T14:00:00Z
2013,1,5,858,900,-2,1519,1530,-11,HA,51,N381HA,JFK,HNL,635,4983,9,0,2013-01-05T14:00:00Z
2013,1,6,1019,900,79,1558,1530,28,HA,51,N385HA,JFK,HNL,611,4983,9,0,2013-01-06T14:00:00Z
2013,1,7,1042,900,102,1620,1530,50,HA,51,N385HA,JFK,HNL,612,4983,9,0,2013-01-07T14:00:00Z
2013,1,8,901,900,1,1504,1530,-26,HA,51,N389HA,JFK,HNL,645,4983,9,0,2013-01-08T14:00:00Z
2013,1,9,641,900,1301,1242,1530,1272,HA,51,N384HA,JFK,HNL,640,4983,9,0,2013-01-09T14:00:00Z
2013,1,10,859,900,-1,1449,1530,-41,HA,51,N388HA,JFK,HNL,633,4983,9,0,2013-01-10T14:00:00Z
2013,1,11,855,900,-5,1442,1530,-48,HA,51,N383HA,JFK,HNL,613,4983,9,0,2013-01-11T14:00:00Z
2013,1,12,901,900,1,1452,1530,-38,HA,51,N383HA,JFK,HNL,615,4983,9,0,2013-01-12T14:00:00Z
2013,1,13,856,900,-4,1523,1530,-7,HA,51,N381HA,JFK,HNL,647,4983,9,0,2013-01-13T14:00:00Z
2013,1,14,859,900,-1,1456,1530,-34,HA,51,N382HA,JFK,HNL,622,4983,9,0,2013-01-14T14:00:00Z
2013,1,15,856,900,-4,1439,1530,-51,HA,51,N384HA,JFK,HNL,618,4983,9,0,2013-01-15T14:00:00Z
2013,1,16,858,900,-2,1510,1530,-20,HA,51,N384HA,JFK,HNL,640,4983,9,0,2013-01-16T14:00:00Z
2013,1,17,859,900,-1,1513,1530,-17,HA,51,N381HA,JFK,HNL,648,4983,9,0,2013-01-17T14:00:00Z
2013,1,18,1103,900,123,1635,1530,65,HA,51,N388HA,JFK,HNL,611,4983,9,0,2013-01-18T14:00:00Z
2013,1,19,854,900,-6,1458,1530,-32,HA,51,N386HA,JFK,HNL,630,4983,9,0,2013-01-19T14:00:00Z
2013,1,20,900,900,0,1452,1530,-38,HA,51,N384HA,JFK,HNL,629,4983,9,0,2013-01-20T14:00:00Z
2013,1,21,853,900,-7,1459,1530,-31,HA,51,N380HA,JFK,HNL,650,4983,9,0,2013-01-21T14:00:00Z
2013,1,22,853,900,-7,1506,1530,-24,HA,51,N381HA,JFK,HNL,632,4983,9,0,2013-01-22T14:00:00Z
2013,1,23,1041,900,101,1652,1530,82,HA,51,N380HA,JFK,HNL,653,4983,9,0,2013-01-23T14:00:00Z
2013,1,24,854,900,-6,1520,1530,-10,HA,51,N389HA,JFK,HNL,657,4983,9,0,2013-01-24T14:00:00Z
2013,1,25,920,900,20,1539,1530,9,HA,51,N382HA,JFK,HNL,653,4983,9,0,2013-01-25T14:00:00Z
2013,1,26,901,900,1,1536,1530,6,HA,51,N385HA,JFK,HNL,660,4983,9,0,2013-01-26T14:00:00Z
2013,1,27,859,900,-1,1504,1530,-26,HA,51,N380HA,JFK,HNL,646,4983,9,0,2013-01-27T14:00:00Z
2013,1,28,856,900,-4,1513,1530,-17,HA,51,N381HA,JFK,HNL,648,4983,9,0,2013-01-28T14:00:00Z
2013,1,29,855,900,-5,1504,1530,-26,HA,51,N383HA,JFK,HNL,650,4983,9,0,2013-01-29T14:00:00Z
2013,1,30,855,900,-5,1441,1530,-49,HA,51,N388HA,JFK,HNL,613,4983,9,0,2013-01-30T14:00:00Z
2013,1,31,858,900,-2,1435,1530,-55,HA,51,N386HA,JFK,HNL,617,4983,9,0,2013-01-31T14:00:00Z
2013,10,2,951,1000,-9,1438,1450,-12,HA,51,N381HA,JFK,HNL,623,4983,10,0,2013-10-02T14:00:00Z
2013,10,4,954,1000,-6,1438,1450,-12,HA,51,N380HA,JFK,HNL,618,4983,10,0,2013-10-04T14:00:00Z
2013,10,5,1002,1000,2,1418,1450,-32,HA,51,N384HA,JFK,HNL,593,4983,10,0,2013-10-05T14:00:00Z
2013,10,6,958,1000,-2,1415,1450,-35,HA,51,N389HA,JFK,HNL,601,4983,10,0,2013-10-06T14:00:00Z
2013,10,7,957,1000,-3,1504,1450,14,HA,51,N390HA,JFK,HNL,642,4983,10,0,2013-10-07T14:00:00Z
2013,10,9,951,1000,-9,1419,1450,-31,HA,51,N391HA,JFK,HNL,610,4983,10,0,2013-10-09T14:00:00Z
2013,10,11,953,1000,-7,1429,1450,-21,HA,51,N391HA,JFK,HNL,614,4983,10,0,2013-10-11T14:00:00Z
2013,10,12,955,1000,-5,1435,1450,-15,HA,51,N386HA,JFK,HNL,620,4983,10,0,2013-10-12T14:00:00Z
2013,10,13,947,1000,-13,1432,1450,-18,HA,51,N382HA,JFK,HNL,614,4983,10,0,2013-10-13T14:00:00Z
2013,10,14,950,1000,-10,1450,1450,0,HA,51,N389HA,JFK,HNL,631,4983,10,0,2013-10-14T14:00:00Z
2013,10,16,1000,1000,0,1443,1450,-7,HA,51,N386HA,JFK,HNL,622,4983,10,0,2013-10-16T14:00:00Z
2013,10,18,957,1000,-3,1449,1450,-1,HA,51,N392HA,JFK,HNL,635,4983,10,0,2013-10-18T14:00:00Z
2013,10,19,956,1000,-4,1453,1450,3,HA,51,N390HA,JFK,HNL,630,4983,10,0,2013-10-19T14:00:00Z
2013,10,20,954,1000,-6,1442,1450,-8,HA,51,N389HA,JFK,HNL,625,4983,10,0,2013-10-20T14:00:00Z
2013,10,21,954,1000,-6,1441,1450,-9,HA,51,N390HA,JFK,HNL,632,4983,10,0,2013-10-21T14:00:00Z
2013,10,23,952,1000,-8,1431,1450,-19,HA,51,N393HA,JFK,HNL,619,4983,10,0,2013-10-23T14:00:00Z
2013,10,25,956,1000,-4,1422,1450,-28,HA,51,N391HA,JFK,HNL,607,4983,10,0,2013-10-25T14:00:00Z
2013,10,26,1004,1000,4,1435,1450,-15,HA,51,N386HA,JFK,HNL,608,4983,10,0,2013-10-26T14:00:00Z
2013,10,27,953,1000,-7,1438,1450,-12,HA,51,N382HA,JFK,HNL,627,4983,10,0,2013-10-27T14:00:00Z
2013,10,28,1000,1000,0,1426,1450,-24,HA,51,N388HA,JFK,HNL,608,4983,10,0,2013-10-28T14:00:00Z
2013,10,30,949,1000,-11,1429,1450,-21,HA,51,N385HA,JFK,HNL,616,4983,10,0,2013-10-30T14:00:00Z
2013,11,1,951,1000,-9,1440,1450,-10,HA,51,N390HA,JFK,HNL,627,4983,10,0,2013-11-01T14:00:00Z
2013,11,2,950,1000,-10,1457,1450,7,HA,51,N380HA,JFK,HNL,632,4983,10,0,2013-11-02T14:00:00Z
2013,11,3,951,1000,-9,1537,1555,-18,HA,51,N384HA,JFK,HNL,630,4983,10,0,2013-11-03T15:00:00Z
2013,11,4,1002,1000,2,1558,1555,3,HA,51,N393HA,JFK,HNL,636,4983,10,0,2013-11-04T15:00:00Z
2013,11,6,951,1000,-9,1609,1555,14,HA,51,N380HA,JFK,HNL,659,4983,10,0,2013-11-06T15:00:00Z
2013,11,8,948,1000,-12,1550,1555,-5,HA,51,N382HA,JFK,HNL,634,4983,10,0,2013-11-08T15:00:00Z
