year,month,day,carrier,flight,dep_delay
2013,1,1,UA,1545,2
2013,1,1,UA,1714,4
2013,1,1,AA,1141,2
2013,1,1,B6,725,-1
2013,1,1,DL,461,-6
2013,1,1,UA,1696,-4
2013,1,1,B6,507,-5
2013,1,1,EV,5708,-3
2013,1,1,B6,79,-3
2013,1,1,AA,301,-2
2013,1,1,B6,49,-2
2013,1,1,B6,71,-2
2013,1,1,UA,194,-2
2013,1,1,UA,1124,-2
2013,1,1,AA,707,-1
2013,1,1,B6,1806,0
2013,1,1,UA,1187,-1
2013,1,1,B6,371,0
2013,1,1,MQ,4650,0
2013,1,1,B6,343,1
2013,1,1,DL,1919,-8
2013,1,1,MQ,4401,-3
2013,1,1,AA,1895,-4
2013,1,1,DL,1743,-4
2013,1,1,UA,1077,0
2013,1,1,MQ,3768,8
2013,1,1,UA,303,11
2013,1,1,B6,135,3
2013,1,1,B6,709,0
2013,1,1,DL,575,0
2013,1,1,US,245,-8
2013,1,1,AA,1837,13
2013,1,1,UA,496,-4
2013,1,1,EV,4626,-6
2013,1,1,MQ,4599,-6
2013,1,1,US,27,-3
2013,1,1,AA,413,-2
2013,1,1,UA,1665,-2
2013,1,1,AA,303,-1
2013,1,1,WN,4646,-1
2013,1,1,US,1019,-1
2013,1,1,EV,4144,24
2013,1,1,AA,711,0
2013,1,1,B6,389,-8
2013,1,1,B6,1002,-1
2013,1,1,UA,556,-3
2013,1,1,US,926,-2
2013,1,1,UA,1701,8
2013,1,1,B6,102,-2
2013,1,1,UA,883,1
2013,1,1,UA,1496,1
2013,1,1,B6,203,-4
2013,1,1,B6,117,-3
2013,1,1,DL,1383,-7
2013,1,1,DL,1415,0
2013,1,1,DL,1865,-5
2013,1,1,DL,2003,-5
2013,1,1,AA,305,-4
2013,1,1,AA,1815,-3
2013,1,1,MQ,4534,-9
2013,1,1,UA,1115,-4
2013,1,1,DL,1879,-3
2013,1,1,DL,1547,-2
2013,1,1,VX,399,-2
2013,1,1,AA,2279,-1
2013,1,1,B6,981,-1
2013,1,1,DL,831,-6
2013,1,1,UA,960,-1
2013,1,1,UA,1203,1
2013,1,1,B6,671,2
2013,1,1,UA,1092,9
2013,1,1,B6,715,-4
2013,1,1,AA,825,-3
2013,1,1,UA,544,2
2013,1,1,FL,850,-3
2013,1,1,B6,987,-2
2013,1,1,UA,962,-2
2013,1,1,AA,715,-6
2013,1,1,AS,11,-1
2013,1,1,AA,2083,-5
2013,1,1,UA,1162,-3
2013,1,1,UA,473,-4
2013,1,1,VX,11,-1
2013,1,1,B6,20,-3
2013,1,1,B6,1601,3
2013,1,1,UA,1111,47
2013,1,1,B6,44,-3
2013,1,1,B6,643,-3
2013,1,1,AA,309,-6
2013,1,1,UA,1479,0
2013,1,1,B6,983,-4
2013,1,1,AA,33,13
2013,1,1,B6,341,-6
2013,1,1,DL,495,13
2013,1,1,AA,59,0
2013,1,1,UA,1668,0
2013,1,1,MQ,3737,39
2013,1,1,DL,2263,-3
2013,1,1,UA,477,2
2013,1,1,US,1733,-7
